Year,Month,crime_category_v2,count
2023,3,PROPERTY_CRIME,8510
2023,3,SEXUAL_CRIME,436
2023,3,VANDALISM,1494
2023,3,VEHICLE_CRIME,2079
2023,3,VIOLENT_CRIME,5379
2023,4,OTHER,1746
2023,4,PROPERTY_CRIME,7885
2023,4,SEXUAL_CRIME,437
2023,4,VANDALISM,1476
2023,4,VEHICLE_CRIME,1867
2023,4,VIOLENT_CRIME,5503
2023,5,OTHER,1449
2023,5,PROPERTY_CRIME,7853
2023,5,SEXUAL_CRIME,480
2023,5,VANDALISM,1438
2023,5,VEHICLE_CRIME,1981
2023,5,VIOLENT_CRIME,5690
2023,6,OTHER,1299
2023,6,PROPERTY_CRIME,7885
2023,6,SEXUAL_CRIME,395
2023,6,VANDALISM,1498
2023,6,VEHICLE_CRIME,2044
2023,6,VIOLENT_CRIME,5591
2023,7,OTHER,1291
2023,7,PROPERTY_CRIME,8093
2023,7,SEXUAL_CRIME,428
2023,7,VANDALISM,1612
2023,7,VEHICLE_CRIME,2366
2023,7,VIOLENT_CRIME,6127
2023,8,OTHER,1352
2023,8,PROPERTY_CRIME,8303
2023,8,SEXUAL_CRIME,465
2023,8,VANDALISM,1465
2023,8,VEHICLE_CRIME,2349
2023,8,VIOLENT_CRIME,6115
2023,9,OTHER,1377
2023,9,PROPERTY_CRIME,7821
2023,9,SEXUAL_CRIME,460
2023,9,VANDALISM,1507
2023,9,VEHICLE_CRIME,2270
2023,9,VIOLENT_CRIME,5853
2023,10,OTHER,1382
2023,10,PROPERTY_CRIME,8150
2023,10,SEXUAL_CRIME,458
2023,10,VANDALISM,1598
2023,10,VEHICLE_CRIME,2453
2023,10,VIOLENT_CRIME,6027
2023,11,OTHER,1445
2023,11,PROPERTY_CRIME,8022
2023,11,SEXUAL_CRIME,415
2023,11,VANDALISM,1408
2023,11,VEHICLE_CRIME,2400
2023,11,VIOLENT_CRIME,5354
2023,12,OTHER,1488
2023,12,PROPERTY_CRIME,8415
2023,12,SEXUAL_CRIME,410
2023,12,VANDALISM,1495
2023,12,VEHICLE_CRIME,2358
2023,12,VIOLENT_CRIME,5328
2024,1,OTHER,1536
2024,1,PROPERTY_CRIME,7857
2024,1,SEXUAL_CRIME,402
2024,1,VANDALISM,1504
2024,1,VEHICLE_CRIME,2310
2024,1,VIOLENT_CRIME,5235
2024,2,OTHER,1282
2024,2,PROPERTY_CRIME,7462
2024,2,SEXUAL_CRIME,398
2024,2,VANDALISM,1343
2024,2,VEHICLE_CRIME,2037
2024,2,VIOLENT_CRIME,4805
2024,3,OTHER,1246
2024,3,PROPERTY_CRIME,7120
2024,3,SEXUAL_CRIME,333
2024,3,VANDALISM,1312
2024,3,VEHICLE_CRIME,2046
2024,3,VIOLENT_CRIME,4122
2024,4,OTHER,846
2024,4,PROPERTY_CRIME,5932
2024,4,SEXUAL_CRIME,220
2024,4,VANDALISM,965
2024,4,VEHICLE_CRIME,1896
2024,4,VIOLENT_CRIME,2970
2024,5,OTHER,594
2024,5,PROPERTY_CRIME,4682
2024,5,SEXUAL_CRIME,137
2024,5,VANDALISM,751
2024,5,VEHICLE_CRIME,1970
2024,5,VIOLENT_CRIME,1078
2024,6,OTHER,700
2024,6,PROPERTY_CRIME,4328
2024,6,SEXUAL_CRIME,74
2024,6,VANDALISM,686
2024,6,VEHICLE_CRIME,1876
2024,6,VIOLENT_CRIME,188
2024,7,OTHER,684
2024,7,PROPERTY_CRIME,3874
2024,7,SEXUAL_CRIME,94
2024,7,VANDALISM,639
2024,7,VEHICLE_CRIME,1938
2024,7,VIOLENT_CRIME,155
2024,8,OTHER,107
2024,8,PROPERTY_CRIME,354
2024,8,SEXUAL_CRIME,6
2024,8,VANDALISM,51
2024,8,VEHICLE_CRIME,219
2024,8,VIOLENT_CRIME,24
